23825.699490    0.04321	5120150326164716328590825462182877449301910037002793631 086390+0707510642a0660
23825.708890    0.04389	5120150326170048362346925498203946792101910022001391715 086401+0677610642a0456
23825.719720    0.03738	5120150326171623620909525476947595263401910031001991212 086420+0657710642a0617
23825.733530    0.03589	5120150326173617046582125483815986095401910055001642834 086426+0607710642a0671
23825.891140    0.01484	5120150326212314578676925684416620290301910053002452999 086522+0567310642a0951
23825.901890    0.04138	5120150326213843509557025738425352869101910012000803999 086521+0567110642a0545
23825.946420    0.04982	5120150326224250316809425797554183054301910046002446999 086548+0477210642a0899
23825.955130    0.05196	5120150326225523474397825825295381407401910026001883261 086555+0497310642a0626
23825.966180    1.80924	5120150326231118215479525872642690576101910041001473999 086559+0496910642a0692
23825.982460    1.88067	5120150326233444660515125883976339148401910018002044187 086560+0496710642a0653
23826.584420    0.05939	5120150327140133655248225927265523371401910044001741329 086721+1283010642a0710
23826.593800    0.05600	5120150327141504657628525941775427807101910028001285830 086732+1352610642a0663
23826.602230    0.01517	5120150327142712590556325898730047674301910024002819138 086721+1382810642a0572
23826.615430    0.03418	5120150327144613295241025893501254284401910097001618774 086742+1392310642a0677
23826.632170    0.05217	5120150327151019095137125903248901122101910176001419999 086741+1411310642a0970
23826.654690    0.03776	5120150327154245265446325852422018070301910057003165338 086755+1421810642a1044
23826.674960    0.03645	5120150327161156431003825849440863921401910075001556414 086773+1432110642a0834
23826.690190    0.04641	5120150327163352076654825868126908268101910058001158913 086791+1314110642a1103
23826.703000    0.02719	5120150327165219291807325831404986786301910035003257212 086803+1094610642a0662
23826.723040    0.06538	5120150327172110643945425829657263005301910035002792248 086825+1064710642a0684
23826.732430   -0.00839	5120150327173441589862325830315371670301910022003505153 086832+1073810642a0866
23826.743040    0.03416	5120150327174958347637025832209466623301910029002914275 086863+0994710642a0638
23826.760750    0.02744	5120150327181528650013125838106258326301910027002591362 086875+0855510642a0630
23826.787120    0.05727	5120150327185327013746225853205900499301910039002589382 086903+0774510642a0668
23826.793100    0.09659	5120150327190203557900925863229481147201910008001862252 086928+0793810642a0551
23826.826870    0.04339	5120150327195041416816925889837319407301910029003014344 086973+0705310642a0689
23826.850310   -0.00192	5120150327202426489654725918761722765301910023002997320 087027+0606710642a0700
23826.860510    0.12392	5120150327203908176552425938329705026201910009001691683 087046+0566710642a0558
23826.874430   -0.00127	5120150327205910738204225953656109862301910018003123218 087065+0587110642a0625
23826.901610    0.10909	5120150327213819149090125998460785939301910014003144249 087096+0575910642a0618
23826.910490    0.04524	5120150327215106443990726023659185184401910046002000332 087096+0585810642a0745
23826.917270    0.07621	5120150327220051843397226058959952412101910022001426999 087126+0634610642a0765
23826.931400    0.06412	5120150327222112933167326053091382614301910026003431438 087117+0644310642a0644
23826.949180    0.18159	5120150327224649495513026093190943590201910013002123999 087133+0604510642a0561
23826.956810    0.03295	5120150327225748023231826112707170711401910020001100324 087141+0544610642a0665
23826.964480    0.04882	5120150327230851400762526151057544335101910012000877999 087140+0524610642a0439
23826.982690    0.05109	5120150327233504096627526156353974507301910013004183208 087163+0534610642a0701
23827.838060    0.04852	5120150328200648704554526168675796744301910054002662043 087219+0794810642a0554
23827.846260    0.03089	5120150328201836665199726175863828393301910086002895117 087216+0814810642a0712
23827.856900    0.01820	5120150328203355891977526186222656392301910031003350023 087192+0794810642a0637
23827.995330    0.06691	5120150328235316336945126437545646127101910017001276465 087134+0845010642a0655
23830.916410   -0.01389	5120150331215937432403926631629494762301910035003532025 086915+0922910642a0530
23837.974990   -0.02314	5120150407232359072363225997848389053301910053003103041 088353+0176210642a0606
23837.981950    0.10127	5120150407233400418993926013273862502101910022002413022 088347+0176010642a0601
23838.026580    0.07331	5120150408003816684804925936083711042301910072002887066 088357+0183910642a0704
23838.034620    0.04908	5120150408004951368569925926498456701001910045002001087 088350+0203610642a0702
23838.061760    0.06408	5120150408012856161187625908973123266301910073003292071 088322+0193210642a0476
